reference_id	ctype	product_name	coords	required_beginning
ANHUI01	A_HA_H7	HA-signal	1..54
ANHUI01	A_HA_H7	HA	55..1683
ANHUI01	A_NA_N9	NA	1..1398
BRISBANE60	B_HA	HA-signal	1..45
BRISBANE60	B_HA	HA	46..1758
BRISBANE60	B_HA	HA1	46..1086
BRISBANE60	B_NS	NS1	1..849
BRISBANE60	B_NS	NEP	1..36;692..1027
CALI07	A_HA_H1	HA-signal	1..51
CALI07	A_HA_H1	HA	52..1701
CALI07	A_NA_N1	NA	1..1410
CALI07	A_HA_H1	HA1	52..1032
HK4801	A_PB2	PB2	1..2280
HK4801	A_PB1	PB1	1..2274
HK4801	A_PB1	PB1-F2	95..2272	ATG
HK4801	A_PA	PA	1..2151
HK4801	A_PA	PA-X	1..570;572..760
HK4801	A_HA_H3	HA-signal	1..48
HK4801	A_HA_H3	HA	49..1701
HK4801	A_NP	NP	1..1497
HK4801	A_NA_N2	NA	1..1410
HK4801	A_MP	M1	1..759
HK4801	A_MP	M2	1..26;715..982
HK4801	A_NS	NEP	1..30;503..838
HK4801	A_NS	NS1	1..837
HK4801	A_HA_H3	HA1	49..1035
PHUKET3073	B_PB1	PB1	1..2259
PHUKET3073	B_PB2	PB2	1..2313
PHUKET3073	B_PA	PA	1..2181
PHUKET3073	B_HA	HA-signal	1..45
PHUKET3073	B_HA	HA	46..1755
PHUKET3073	B_HA	HA1	46..1083
PHUKET3073	B_NP	NP	1..1683
PHUKET3073	B_NA	NA	8..1408
PHUKET3073	B_NA	NB	1..303
PHUKET3073	B_MP	M1	1..747
PHUKET3073	B_MP	BM2	747..1076
PHUKET3073	B_NS	NS1	1..846
PHUKET3073	B_NS	NEP	1..33;689..1024
VT1203	A_HA_H5	HA-signal	1..48
VT1203	A_HA_H5	HA	49..1707
NL219	A_NA_N7	NA	1..1416
ANNARBOR60	A_HA_H2	HA-signal	1..45
ANNARBOR60	A_HA_H2	HA	46..1689
BGD0994	A_HA_H9	HA-signal	1..54
BGD0994	A_HA_H9	HA	55..1683
ASTRAKHAN3212	A_NA_N8	NA	1..1413
SICHUAN26221	A_NA_N6	NA	1..1413
RU1526	A_NA_N5	NA	1..1353
ALASKA4733	A_NA_N5	NA	1..1422
ONTARIO6118	A_NA_N4	NA	1..1413
