Reference ID	Compound Type	Protein	Coords	Required Beginning
WUHAN19	SARS-CoV-2	orf1ab	266..13468;13468..21555
WUHAN19	SARS-CoV-2	S	21563..25384
WUHAN19	SARS-CoV-2	ORF3a	25393..26220
WUHAN19	SARS-CoV-2	E	26245..26472
WUHAN19	SARS-CoV-2	M	26523..27191
WUHAN19	SARS-CoV-2	ORF6	27202..27387
WUHAN19	SARS-CoV-2	ORF7a	27394..27759
WUHAN19	SARS-CoV-2	ORF7b	27756..27887
WUHAN19	SARS-CoV-2	ORF8	27894..28259
WUHAN19	SARS-CoV-2	N	28274..29533
WUHAN19	SARS-CoV-2	ORF9b	28284..28577
WUHAN19	SARS-CoV-2	ORF10	29558..29674
UAE15	MERS-CoV	1AB_PP	279..13433;13433..21514
UAE15	MERS-CoV	S	21456..25517
UAE15	MERS-CoV	NS3	25532..25843
UAE15	MERS-CoV	NS4A	25852..26181
UAE15	MERS-CoV	NS4B	26093..26833
UAE15	MERS-CoV	NS5	26840..27514
UAE15	MERS-CoV	E	27590..27838
UAE15	MERS-CoV	M	27853..28512
UAE15	MERS-CoV	N	28566..29807
UAE15	MERS-CoV	ORF8B	28762..29100
