reference_id	ctype	product_name	coords	required_beginning
KY654518	RSV_AD	NS1	99..518
KY654518	RSV_AD	NS2	628..1002
KY654518	RSV_AD	N	1140..2315
KY654518	RSV_AD	P	2347..3072
KY654518	RSV_AD	M	3255..4025
KY654518	RSV_AD	SH	4295..4489
KY654518	RSV_AD	G	4681..5646
KY654518	RSV_AD	F	5726..7450
KY654518	RSV_AD	M2-1	7669..8253
KY654518	RSV_AD	M2-2	8228..8494
KY654518	RSV_AD	L	8561..15058
KF640637	RSV_BD	NS1	100..519
KF640637	RSV_BD	NS2	627..1001
KF640637	RSV_BD	N	1140..2315
KF640637	RSV_BD	P	2348..3073
KF640637	RSV_BD	M	3263..4033
KF640637	RSV_BD	SH	4302..4499
KF640637	RSV_BD	G	4689..5621
KF640637	RSV_BD	F	5719..7443
KF640637	RSV_BD	M2-1	7670..8257
KF640637	RSV_BD	M2-2	8223..8495
KF640637	RSV_BD	L	8561..15061
